Article Title,Reprint Addresses,Funding Orgs,"Times Cited, WoS Core","Times Cited, All Databases",Publication Date,Publication Year,DOI,
High data-rate readout logic design of a 512 x 1024 pixel array dedicated for CEPC vertex detector,"Wei, X (corresponding author), Northwestern Polytech Univ, Sch Comp Sci & Engn, 127 Youyixilu, Xian 710072, Shaanxi, Peoples R China.","National Key Research and Development Program of China [2018YFA0404302]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11575144, 11705148, 11835007, 11835008]; Natural Science Foundation of Shaanxi provinceNatural Science Foundation of Shaanxi Province [2019JQ-268]; Fundamental Research Funds for the Central UniversitiesFundamental Research Funds for the Central Universities [3102019DX1006]",2,2,DEC,2019,10.1088/1748-0221/14/12/C12012,
Study of the dilepton electromagnetic decays of chi(cJ) (1P),"Wang, TH (corresponding author), Harbin Inst Technol, Dept Phys, Harbin 150001, Heilongjiang, Peoples R China.","National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11405037, 11575048, 11505039]",0,0,DEC,2019,10.1140/epjc/s10052-019-7531-8,
A population stereotaxic positron emission tomography brain template for the macaque and its application to ischemic model,"Shan, BC (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing Engn Res Ctr Radiog Tech & Equipment, Beijing 100049, Peoples R China.; Shan, BC (corresponding author), Univ Chinese Acad Sci, Sch Nucl Sci & Technol, Beijing 100049, Peoples R China.; Xu, H (corresponding author), Jinan Univ, Affiliated Hosp 1, Dept Nucl Med, Guangzhou 510630, Guangdong, Peoples R China.; Xu, H (corresponding author), Jinan Univ, Affiliated Hosp 1, PET CT MRI Ctr, Guangzhou 510630, Guangdong, Peoples R China.; Xu, H (corresponding author), Jinan Univ, Inst Mol & Funct Imaging, Guangzhou 510630, Guangdong, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [81671770, 81701751, 81871383, 81771923]; Strategic Priority Research Program of Chinese Academy of Science [XDB32030200]; Science and Technology Program of Guangzhou [201804010440]; Shenzhen Basic Research Program [JCYJ20160330095629781]; Fundamental Research Funds for the Central UniversitiesFundamental Research Funds for the Central Universities [21617311, 21619104]",2,2,DEC,2019,10.1016/j.neuroimage.2019.116163,
Two-dimensional mechanical analysis of superconducting double-aperture quadrupole magnet prototype for CEPC,"Yang, XC (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11875272],0,0,DEC,2019,10.1007/s41605-019-0140-0,
Thermal reliability analysis of the central detector of JUNO,"Heng, YK (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.; Heng, YK (corresponding author), State Key Lab Particle Detect & Elect, Beijing 100049, Peoples R China.; Heng, YK (corresponding author), Univ Chinese Acad Sci, Beijing 100049, Peoples R China.",Strategic Priority Research Program of the Chinese Academy of SciencesChinese Academy of Sciences [XDA100102],4,4,DEC,2019,10.1007/s41605-019-0142-y,
"Prospects for rare and forbidden hyperon decays at BESIII (vol 12, 121301, 2017)","Li, HB (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.; Li, HB (corresponding author), Univ Chinese Acad Sci, Beijing 100049, Peoples R China.",,6,7,DEC,2019,10.1007/s11467-019-0910-7,
"First observation of the decay chi(cJ) -> Sigma(+)(p)over-barK(S)(0)+ c.c. (J=0,1,2)","Gu, S (corresponding author), Beihang Univ, Beijing 100191, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11625523, 11635010, 11735014, 11822506, 11835012]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; NSFCNational Natural Science Foundation of China (NSFC) [U1532257, U1532258, U1732263, U1832207]; CASChinese Academy of Sciences [U1532257, U1532258, U1732263, U1832207]; CAS Key Research Program of Frontier Sciences [QYZDJ-SSW-SLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; Institute of Nuclear and Particle Physics (INPAC); Shanghai Key Laboratory for Particle Physics and Cosmology; ERCEuropean Research Council (ERC)European Commission [758462]; German Research Foundation DFGGerman Research Foundation (DFG) [1044, FOR 2359]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology fund; STFC (United Kingdom)UK Research & Innovation (UKRI)Science & Technology Facilities Council (STFC); Knut and Alice Wallenberg Foundation (Sweden)Knut & Alice Wallenberg Foundation [2016.0157]; Royal Society, UKRoyal Society of London [DH140054, DH160214]; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC-0012069]; University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt",0,0,NOV 18,2019,10.1103/PhysRevD.100.092006,
Development of a 6D Kalman filter for charged particle tracking in time projection chamber without magnetic field,"Huo, YK; Wang, SB (corresponding author), Shanghai Jiao Tong Univ, Shanghai Lab Particle Phys & Cosmol, INPAC, Shanghai 200240, Peoples R China.; Huo, YK; Wang, SB (corresponding author), Shanghai Jiao Tong Univ, Zhiyuan Coll, Shanghai 200240, Peoples R China.; Wang, SB (corresponding author), Shanghai Jiao Tong Univ, SJTU Paris Tech Elite Inst Technol, 800 Dongchuan Rd, Shanghai 200240, Peoples R China.",,0,0,MAR,2020,10.1007/s41605-019-0151-x,
"Measurement of branching fractions of psi(3686) -> phi eta ', phi f(1) (1285) and phi eta(1405)","Yang, SL (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.; Yang, SL (corresponding author), Univ Chinese Acad Sci, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11335008, 11425524, 11625523, 11635010, 11675184, 11735014]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics (CCEPP); NSFCNational Natural Science Foundation of China (NSFC) [U1532257, U1532258, U1632107, U1732263]; CASChinese Academy of Sciences [U1532257, U1532258, U1632107, U1732263]; CAS Key Research Program of Frontier Sciences [QYZDJ-SSWSLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [CRC 1044, FOR 2359]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [5304CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology fund; Knut and Alice Wallenberg Foundation (Sweden)Knut & Alice Wallenberg Foundation [2016.0157]; Royal Society, UKRoyal Society of London [DH160214]; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC-0012069]; University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; INPAC",0,0,NOV 11,2019,10.1103/PhysRevD.100.092003,
Measurement of branching fractions for D meson decaying into phi meson and a pseudoscalar meson,"Lin, CX (corresponding author), Sun Yat Sen Univ, Guangzhou 510275, Guangdong, Peoples R China.; Hou, YR (corresponding author), Univ Chinese Acad Sci, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11625523, 11635010, 11735014, 11822506, 11835012]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; NSFCNational Natural Science Foundation of China (NSFC) [U1532257, U1532258, U1732263, U1832207, U1932101]; CASChinese Academy of Sciences [U1532257, U1532258, U1732263, U1832207, U1932101]; CAS Key Research Program of Frontier Sciences [QYZDJSSW-SLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; INPAC; Shanghai Key Laboratory for Particle Physics and Cosmology; ERCEuropean Research Council (ERC)European Commission [758462]; German Research Foundation DFGGerman Research Foundation (DFG) [Collaborative Research Center CRC 1044, FOR 2359]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology fund; STFC (United Kingdom)UK Research & Innovation (UKRI)Science & Technology Facilities Council (STFC); Knut and Alice Wallenberg Foundation (Sweden)Knut & Alice Wallenberg Foundation [2016.0157]; Royal Society, UKRoyal Society of London [DH140054, DH160214]; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC-0012069]; University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt",4,4,NOV 10,2019,10.1016/j.physletb.2019.135017,
Determination of the absolute branching fractions of X(3872) decays,"Li, CH (corresponding author), Liaoning Normal Univ, Sch Phys & Elect Technol, Dalian 116029, Peoples R China.","LiaoNing Revitalization Talents Program [XLYC1807135]; Scientific Research Foundation of LiaoNing Normal University [BS2018L005]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11835012, 11521505]; Key Research Program of Frontier Sciences, CAS [QYZDJ-SSW-SLH011]; CAS Center for Excellence in Particle Physics (CCEPP)",15,16,NOV 5,2019,10.1103/PhysRevD.100.094003,
HOM damping requirements and measurements for CEPC 650-MHz 2-cell cavity,"Zheng, HJ (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Key Lab Particle Accelerat Phys & Technol, Beijing 100049, Peoples R China.",National Key Programme for S&T Research and Development [2016YFA0400400]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11905232]; Xie Jialin Funding from IHEP [542018IHEPZZBS10505],1,1,MAR,2020,10.1007/s41605-019-0143-x,
Optimization of the scintillator units for the CEPC scintillator-tungsten ECAL,"Dong, MY (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.; Dong, MY (corresponding author), State Key Lab Particle Detect & Elect, Beijing 100049, Peoples R China.; Dong, MY (corresponding author), Univ Chinese Acad Sci, Beijing 100049, Peoples R China.",National Key Programme for S&T Research and Development [2016YFA0400400]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11675196]; CAS Centre for Excellence in Particle Physics (CCEPP),2,2,MAR,2020,10.1007/s41605-019-0146-7,
Research Progress in Development of Glass Scintillator,"Lu, SC (corresponding author), South China Univ Technol, Guangdong Prov Key Lab Fiber Laser Mat & Appl Tec, Special Glass Fiber & Device Engn Technol Res & D, Sch Mat Sci & Engn,State Key Lab Luminescent Mat, Guangzhou 510640, Peoples R China.",National Key Research and Development Program of China [2018YFB1107200]; National Science Fund for Excellent Young Scholars of China [51622206]; Tip-Top Scientific and Technological Innovative Youth Talents of Guangdong Special Support Program [2015TQ01C362]; Local Innovative and Research Teams Project of Guangdong Peal River Talents Program [2017BT01X137]; Key Program of Guangzhou Scientific Research Special Project [201904020013],0,0,NOV,2019,10.3788/gzxb20194811.1148011,
Up-down asymmetries of charmed baryon three-body decays,"Geng, CQ (corresponding author), Shanxi Normal Univ, Sch Phys & Informat Engn, Linfen 041004, Shanxi, Peoples R China.; Geng, CQ (corresponding author), Natl Tsing Hua Univ, Dept Phys, Hsinchu 300, Taiwan.; Geng, CQ (corresponding author), Natl Ctr Theoret Sci, Div Phys, Hsinchu 300, Taiwan.","National Center for Theoretical Sciences; MoST [MoST-104-2112-M-007-003-MY3, MoST-107-2119-M-007-013-MY3]",9,9,NOV,2019,10.1140/epjc/s10052-019-7467-z,
Inflationary perturbation spectra at next-to-leading slow-roll order in effective field theory of inflation,"Zhu, T (corresponding author), Zhejiang Univ Technol, Inst Theoret Phys & Cosmol, Hangzhou 310032, Zhejiang, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11675145]; Zhejiang Provincial Natural Science Foundation of ChinaNatural Science Foundation of Zhejiang Province [LY20A050002]; Fundamental Research Funds for the Provincial Universities of Zhejiang in China [RF-A2019015],6,6,NOV,2019,10.1140/epjc/s10052-019-7496-7,
Coenzyme Q10 ameliorates the quality of postovulatory aged oocytes by suppressing DNA damage and apoptosis,"Xiong, B (corresponding author), Nanjing Agr Univ, Coll Anim Sci & Technol, Nanjing 210095, Jiangsu, Peoples R China.","National Key Research and Development Program of China [2018YFC1003802, 2018YFC1004002]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [31571545]",29,29,NOV 1,2019,10.1016/j.freeradbiomed.2019.08.002,
"Probing the top quark flavor-changing couplings at CEPC * * Supported by CNRS via the LIA FCPPL, by the CEPC theory study grant, and by IHEP (Y7515540U1)","Shi, LS (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",CNRS via the LIA FCPPL; IHEP [Y7515540U1]; CEPC theory study grant,5,5,NOV,2019,10.1088/1674-1137/43/11/113104,
The X(4140) and X(4160) resonances in the e(+)e(-) -> gamma J/psi phi reaction,"Geng, LS (corresponding author), Zhengzhou Univ, Sch Phys, Zhengzhou 450001, Henan, Peoples R China.; Geng, LS (corresponding author), Beihang Univ, Sch Phys & Nucl Energy Engn, Beijing 100191, Peoples R China.; Geng, LS (corresponding author), Beihang Univ, Int Res Ctr Nuclei & Particles Cosmos, Beijing 100191, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11735003, 11522539, 11505158, 11475015, 11647601]; Youth Innovation Promotion Association CAS [2016367]; Key Research Projects of Henan Higher Education Institutions [20A140027]; Academic Improvement Project of Zhengzhou University; Spanish Ministerio de Economia y CompetitividadSpanish Government [FIS2014-57026-REDT, FIS2014-51948-C2-1-P, FIS2014-51948-C2-2-P]; European FEDER fundsEuropean Commission [FIS2014-57026-REDT, FIS2014-51948-C2-1-P, FIS2014-51948-C2-2-P]; Generalitat ValencianaGeneralitat ValencianaEuropean CommissionGeneral Electric [II2014/068]; proyecto Severo Ochoa del IFIC [SEV-2014-0398]",5,5,NOV,2019,10.1088/1674-1137/43/11/113101,
A possible explanation of the threshold enhancement in the process e(+)e(-) -> Lambda(Lambda)over-bar,"Xiao, LY (corresponding author), Peking Univ, Sch Phys, Beijing 100871, Peoples R China.; Xiao, LY (corresponding author), Peking Univ, State Key Lab Nucl Phys & Technol, Beijing 100871, Peoples R China.; Xiao, LY (corresponding author), Peking Univ, Ctr High Energy Phys, Beijing 100871, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11575008, 11621131001, 11775078, U1832173]; National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; China Postdoctoral Science FoundationChina Postdoctoral Science Foundation [2017M620492]",6,6,NOV,2019,10.1088/1674-1137/43/11/113105,
Overview of HL-2A recent experiments,"Xu, M (corresponding author), Southwestern Inst Phys, POB 432, Chengdu 610041, Sichuan, Peoples R China.","Nuclear Power Development Research Project [H6600003-17]; National Key R&D Program of China [2015GB105000, 2015GB104000]; Chinese International Science and Technology Cooperation Projects [2015DFA61760]",20,20,NOV,2019,10.1088/1741-4326/ab1d84,
Amplitude analysis of D+-> K-S(0)pi(+)pi(+)pi(-),"Zhou, Q (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.; Zhou, Q (corresponding author), Univ Chinese Acad Sci, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11075174, 11121092, 11425524, 11475185, 11625523, 11635010, 11735014]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics (CCEPP); Joint Large-Scale Scientific Facility Funds of the NSFC; CASChinese Academy of Sciences [U1532257, U1532258, U1732263]; CAS Key Research Program of Frontier Sciences [QYZDJ-SSW-SLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [CRC 1044]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology fund; Swedish Research CouncilSwedish Research CouncilEuropean Commission; Knut and Alice Wallenberg FoundationKnut & Alice Wallenberg Foundation; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC0010504, DE-SC-0012069]; University of Groningen; Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; INPAC",3,3,OCT 18,2019,10.1103/PhysRevD.100.072008,
Electromagnetic form factors of Lambda hyperon in the vector meson dominance model,"Chen, DY (corresponding author), Southeast Univ, Sch Phys, Nanjing 211189, Jiangsu, Peoples R China.","NSFCNational Natural Science Foundation of China (NSFC) [11575043, 11775050]; Fundamental Research Funds for the Central Universities of ChinaFundamental Research Funds for the Central Universities; Scientific Research Foundation of Graduate School of Southeast University [YBJJ1770]; Postgraduate Research & Practice Innovation Program of Jiangsu Province [KYCX17_0043]",14,15,OCT 17,2019,10.1103/PhysRevD.100.073007,
